frame,tiempo_s,x,y,radio
387,12.901057377049181,375,273,41
388,12.93439344262295,372,273,41
389,12.96772950819672,369,273,41
390,13.001065573770491,364,274,41
391,13.034401639344262,359,274,41
392,13.067737704918033,360,274,40
393,13.101073770491803,351,274,41
394,13.134409836065574,349,273,41
395,13.167745901639345,348,273,41
396,13.201081967213115,348,273,41
397,13.234418032786886,352,274,41
398,13.267754098360655,356,274,41
399,13.301090163934425,359,274,41
400,13.334426229508196,364,274,41
401,13.367762295081967,369,274,41
402,13.401098360655737,372,273,40
403,13.434434426229508,372,273,41
404,13.467770491803279,373,274,40
405,13.50110655737705,372,273,40
406,13.53444262295082,370,273,40
407,13.56777868852459,366,273,40
408,13.60111475409836,362,273,40
409,13.63445081967213,357,273,40
410,13.667786885245901,353,274,41
411,13.701122950819672,351,274,41
412,13.734459016393442,350,274,41
413,13.767795081967213,349,274,41
414,13.801131147540984,350,275,41
415,13.834467213114754,353,275,41
416,13.867803278688525,357,275,41
417,13.901139344262296,360,275,41
418,13.934475409836065,364,275,41
419,13.967811475409835,369,275,40
420,14.001147540983606,370,275,40
421,14.034483606557377,371,275,40
422,14.067819672131147,371,275,40
423,14.101155737704918,370,276,40
424,14.134491803278689,366,276,40
425,14.16782786885246,362,277,40
426,14.20116393442623,359,277,40
427,14.2345,356,277,40
428,14.26783606557377,352,276,41
429,14.30117213114754,350,276,41
430,14.33450819672131,348,276,41
431,14.367844262295081,348,277,41
432,14.401180327868852,350,278,41
433,14.434516393442623,353,278,41
434,14.467852459016393,357,278,41
435,14.501188524590164,360,278,41
436,14.534524590163935,363,277,41
437,14.567860655737705,366,276,40
438,14.601196721311476,367,275,41
439,14.634532786885245,367,274,40
440,14.667868852459016,367,274,40
441,14.701204918032786,366,274,40
442,14.734540983606557,363,275,40
443,14.767877049180328,361,275,40
444,14.801213114754098,357,274,41
445,14.834549180327869,354,274,41
446,14.86788524590164,351,273,40
447,14.90122131147541,349,273,41
448,14.934557377049181,349,273,41
449,14.96789344262295,350,273,41
450,15.00122950819672,353,274,41
451,15.034565573770491,356,274,40
452,15.067901639344262,359,273,41
453,15.101237704918033,363,273,41
454,15.134573770491803,365,273,40
455,15.167909836065574,366,272,40
456,15.201245901639345,367,272,40
457,15.234581967213115,367,272,40
458,15.267918032786886,367,272,40
459,15.301254098360655,365,272,40
460,15.334590163934426,362,272,40
461,15.367926229508196,360,271,40
462,15.401262295081967,356,272,40
463,15.434598360655738,354,272,40
464,15.467934426229508,352,271,40
465,15.501270491803279,352,271,40
466,15.53460655737705,353,271,40
467,15.56794262295082,355,271,41
468,15.60127868852459,356,270,41
469,15.63461475409836,359,270,41
470,15.66795081967213,362,270,41
471,15.701286885245901,365,269,41
472,15.734622950819672,366,269,41
473,15.767959016393442,368,268,40
474,15.801295081967213,368,267,40
475,15.834631147540984,368,267,40
476,15.867967213114754,366,266,40
477,15.901303278688525,364,266,40
478,15.934639344262296,361,266,40
479,15.967975409836065,358,266,40
480,16.001311475409835,356,266,40
481,16.034647540983606,355,266,40
482,16.067983606557377,353,266,40
483,16.101319672131147,353,266,40
484,16.134655737704918,354,266,41
485,16.16799180327869,357,266,41
486,16.20132786885246,359,266,41
487,16.23466393442623,361,266,41
